train_id,train_number,train_type,service_class,origin,destination,priority_class,length_m,max_speed_kmph,acceleration,deceleration,scheduled_departure,scheduled_arrival
T001,90001,SUBURBAN,local,virar,churchgate,2,240,100,0.8,0.9,2026-08-17T08:00:00+00:00,2026-08-17T09:20:00+00:00
T002,90002,SUBURBAN,local,churchgate,virar,2,240,100,0.8,0.9,2026-08-17T08:07:00+00:00,2026-08-17T09:27:00+00:00
T003,90003,SUBURBAN,local,virar,churchgate,2,240,100,0.8,0.9,2026-08-17T08:15:00+00:00,2026-08-17T09:35:00+00:00
T004,90004,SUBURBAN,local,churchgate,virar,2,240,100,0.8,0.9,2026-08-17T08:23:00+00:00,2026-08-17T09:43:00+00:00
T005,90005,SUBURBAN,local,virar,churchgate,2,240,100,0.8,0.9,2026-08-17T08:31:00+00:00,2026-08-17T09:51:00+00:00
T006,90006,SUBURBAN,fast,virar,churchgate,1,260,120,0.9,1.0,2026-08-17T08:03:00+00:00,2026-08-17T09:10:00+00:00
T007,90007,SUBURBAN,fast,churchgate,virar,1,260,120,0.9,1.0,2026-08-17T08:18:00+00:00,2026-08-17T09:25:00+00:00
T008,90008,EXPRESS,intercity,mumbai_central,virar,1,550,120,0.5,0.6,2026-08-17T08:12:00+00:00,2026-08-17T09:05:00+00:00
T009,90009,EXPRESS,intercity,virar,mumbai_central,1,550,120,0.5,0.6,2026-08-17T08:28:00+00:00,2026-08-17T09:20:00+00:00
T010,90010,MEMUPASSENGER,mainline,vasai_road,diva,3,520,90,0.6,0.7,2026-08-17T08:05:00+00:00,2026-08-17T08:55:00+00:00
T011,90011,MEMUPASSENGER,mainline,diva,vasai_road,3,520,90,0.6,0.7,2026-08-17T08:20:00+00:00,2026-08-17T09:10:00+00:00
T012,90012,FREIGHT,goods,freight_yard_north,diva,5,700,70,0.3,0.4,2026-08-17T08:10:00+00:00,2026-08-17T10:00:00+00:00
T013,90013,FREIGHT,goods,diva,freight_yard_north,5,700,70,0.3,0.4,2026-08-17T08:40:00+00:00,2026-08-17T10:30:00+00:00
T014,90014,SUBURBAN,local,virar,churchgate,2,240,100,0.8,0.9,2026-08-17T08:45:00+00:00,2026-08-17T10:05:00+00:00
T015,90015,SUBURBAN,local,churchgate,virar,2,240,100,0.8,0.9,2026-08-17T08:52:00+00:00,2026-08-17T10:12:00+00:00
T016,90016,SUBURBAN,fast,churchgate,virar,1,260,120,0.9,1.0,2026-08-17T08:50:00+00:00,2026-08-17T09:57:00+00:00
T017,90017,EXPRESS,intercity,virar,mumbai_central,1,550,120,0.5,0.6,2026-08-17T09:00:00+00:00,2026-08-17T09:52:00+00:00
T018,90018,SUBURBAN,local,virar,churchgate,2,240,100,0.8,0.9,2026-08-17T09:08:00+00:00,2026-08-17T10:28:00+00:00
T019,90019,MEMUPASSENGER,mainline,vasai_road,diva,3,520,90,0.6,0.7,2026-08-17T09:15:00+00:00,2026-08-17T10:05:00+00:00
T020,90020,FREIGHT,goods,freight_yard_north,virar,5,700,70,0.3,0.4,2026-08-17T09:20:00+00:00,2026-08-17T11:00:00+00:00
